date,visits,donations,average_donation_value,region,total_donation_value,quarter,month,day_of_week
2023-05-06,815,224,109.5,Australia,24528.0,2023Q2,5,Saturday
2023-09-08,22,19,84.24,Africa,1600.56,2023Q3,9,Friday
2023-05-25,83,79,12.35,South America,975.65,2023Q2,5,Thursday
2023-07-24,556,503,159.43,Africa,80193.29000000001,2023Q3,7,Monday
2023-05-06,694,196,21.36,Europe,4186.5599999999995,2023Q2,5,Saturday
2023-04-23,390,110,191.65,South America,21081.5,2023Q2,4,Sunday
2023-11-23,301,173,171.14,Asia,29607.219999999998,2023Q4,11,Thursday
2023-12-02,234,233,13.31,North America,3101.23,2023Q4,12,Saturday
2023-05-16,957,508,23.92,Asia,12151.36,2023Q2,5,Tuesday
2023-10-14,971,441,79.88,South America,35227.079999999994,2023Q4,10,Saturday
2023-02-21,294,13,6.61,Europe,85.93,2023Q1,2,Tuesday
2023-11-05,734,279,77.86,Australia,21722.94,2023Q4,11,Sunday
2023-06-15,505,209,127.7,South America,26689.3,2023Q2,6,Thursday
2023-02-17,317,314,52.84,Europe,16591.760000000002,2023Q1,2,Friday
2023-02-17,838,106,94.56,Australia,10023.36,2023Q1,2,Friday
2023-08-05,160,68,89.97,Europe,6117.96,2023Q3,8,Saturday
2023-03-07,780,273,81.85,Asia,22345.05,2023Q1,3,Tuesday
2023-05-09,656,175,68.54,Europe,11994.500000000002,2023Q2,5,Tuesday
2023-01-23,321,237,120.58,South America,28577.46,2023Q1,1,Monday
2023-11-12,208,195,89.89,Africa,17528.55,2023Q4,11,Sunday
2023-09-02,582,43,121.42,Asia,5221.06,2023Q3,9,Saturday
2023-05-20,26,13,149.5,South America,1943.5,2023Q2,5,Saturday
2023-09-13,75,45,86.02,Africa,3870.8999999999996,2023Q3,9,Wednesday
2023-06-17,191,187,158.37,North America,29615.190000000002,2023Q2,6,Saturday
2023-11-20,256,30,122.49,South America,3674.7,2023Q4,11,Monday
2023-06-23,815,347,157.53,Europe,54662.91,2023Q2,6,Friday
2023-09-22,292,123,84.57,Asia,10402.109999999999,2023Q3,9,Friday
2023-12-23,784,767,140.74,Asia,107947.58,2023Q4,12,Saturday
2023-06-14,742,177,50.3,South America,8903.1,2023Q2,6,Wednesday
2023-06-02,665,181,36.9,South America,6678.9,2023Q2,6,Friday
2023-06-09,652,293,78.56,Africa,23018.08,2023Q2,6,Friday
2023-03-15,492,6,45.41,Europe,272.46,2023Q1,3,Wednesday
2023-10-20,129,43,95.02,Africa,4085.8599999999997,2023Q4,10,Friday
2023-10-03,51,11,85.28,South America,938.08,2023Q4,10,Tuesday
2023-06-29,697,273,20.31,South America,5544.629999999999,2023Q2,6,Thursday
2023-09-09,693,403,64.16,Europe,25856.48,2023Q3,9,Saturday
2023-11-16,657,266,84.24,Asia,22407.84,2023Q4,11,Thursday
2023-10-09,865,513,67.36,Australia,34555.68,2023Q4,10,Monday
2023-04-12,356,245,178.26,Australia,43673.7,2023Q2,4,Wednesday
2023-07-03,445,4,136.5,Australia,546.0,2023Q3,7,Monday
2023-01-21,429,10,172.65,Asia,1726.5,2023Q1,1,Saturday
