date,visits,donations,average_donation_value,region
2023-05-06,815,224,109.5,Australia
2023-09-08,22,19,84.24,Africa
2023-05-25,83,79,12.35,South America
2023-07-24,556,503,159.43,Africa
2023-05-06,694,196,21.36,Europe
2023-04-23,390,110,191.65,South America
2023-11-23,301,173,171.14,Asia
2023-12-02,234,233,13.31,North America
2023-05-16,957,508,23.92,Asia
2023-10-14,971,441,79.88,South America
2023-02-21,294,13,6.61,Europe
2023-11-05,734,279,77.86,Australia
2023-06-15,505,209,127.7,South America
2023-02-17,317,314,52.84,Europe
2023-02-17,838,106,94.56,Australia
2023-08-05,160,68,89.97,Europe
2023-03-07,780,273,81.85,Asia
2023-05-09,656,175,68.54,Europe
2023-01-23,321,237,120.58,South America
2023-11-12,208,195,89.89,Africa
2023-09-02,582,43,121.42,Asia
2023-05-20,26,13,149.5,South America
2023-09-13,75,45,86.02,Africa
2023-06-17,191,187,158.37,North America
2023-11-20,256,30,122.49,South America
2023-06-23,815,347,157.53,Europe
2023-09-22,292,123,84.57,Asia
2023-12-23,784,767,140.74,Asia
2023-06-14,742,177,50.3,South America
2023-06-02,665,181,36.9,South America
2023-06-09,652,293,78.56,Africa
2023-03-15,492,6,45.41,Europe
2023-10-20,129,43,95.02,Africa
2023-10-03,51,11,85.28,South America
2023-06-29,697,273,20.31,South America
2023-09-09,693,403,64.16,Europe
2023-11-16,657,266,84.24,Asia
2023-10-09,865,513,67.36,Australia
2023-04-12,356,245,178.26,Australia
2023-07-03,445,4,136.5,Australia
2023-01-21,429,10,172.65,Asia
2023-06-24,618,403,62.04,Australia
2023-06-10,710,420,43.95,South America
2023-04-14,874,437,84.3,Asia
2023-03-25,124,11,162.15,North America
2023-08-13,74,35,22.35,Asia
2023-11-20,435,32,45.96,North America
2023-04-15,66,27,73.8,Australia
2023-06-05,113,46,86.44,South America
2023-12-11,580,367,156.22,Asia
2023-07-03,702,491,128.68,Asia
2023-08-25,860,806,180.38,North America
2023-07-16,107,84,189.78,North America
2023-08-29,373,343,37.86,Asia
2023-01-05,397,86,162.51,Australia
2023-02-24,344,216,68.18,North America
2023-04-07,396,82,37.79,Europe
2023-09-15,32,2,148.61,Africa
2023-10-07,968,511,52.85,Australia
2023-05-02,455,366,89.98,Europe
2023-02-01,376,312,172.83,Asia
2023-06-11,15,11,116.09,Australia
2023-07-15,215,196,164.95,Asia
2023-03-23,776,716,129.24,Asia
2023-05-19,482,251,92.93,Europe
2023-08-21,250,2,101.06,Australia
2023-12-30,461,140,109.89,North America
2023-09-04,885,868,80.47,Europe
2023-07-05,873,641,189.33,South America
2023-12-22,762,465,29.53,Africa
2023-08-09,329,118,146.07,North America
2023-12-08,476,108,152.64,Australia
2023-11-16,155,73,20.84,North America
2023-08-17,800,47,101.16,Australia
2023-11-05,388,320,170.61,South America
2023-06-25,564,226,37.25,Asia
2023-03-15,490,322,39.64,North America
2023-07-08,650,257,149.98,Europe
2023-05-06,760,215,61.89,South America
2023-03-22,434,299,134.8,Australia
2023-07-19,692,549,149.85,Europe
2023-02-23,611,115,141.75,North America
2023-07-26,889,589,6.12,Africa
2023-10-17,650,353,104.8,Europe
2023-01-01,271,147,14.53,Africa
2023-12-20,684,115,185.12,Africa
2023-07-16,142,67,122.6,Australia
2023-11-18,486,239,141.35,North America
2023-07-23,610,497,176.14,Europe
2023-08-02,121,69,184.9,Australia
2023-09-12,612,104,114.85,South America
2023-06-11,547,435,93.62,North America
2023-07-27,35,18,138.53,North America
2023-10-17,635,441,58.89,Australia
2023-11-17,112,92,89.14,North America
2023-06-29,190,128,120.6,North America
2023-08-02,613,451,138.67,Asia
2023-02-07,755,362,20.72,Asia
2023-04-17,766,462,56.27,Europe
2023-06-10,336,12,66.27,North America
2023-05-26,137,110,107.68,Africa
2023-04-09,986,901,18.12,South America
2023-01-16,19,14,47.22,Australia
2023-01-13,528,289,135.46,Asia
2023-09-02,916,349,18.69,Europe
2023-10-26,479,315,111.41,North America
2023-09-04,698,596,76.84,North America
2023-06-19,904,332,165.53,Asia
2023-10-31,192,163,26.16,South America
2023-11-22,984,788,69.52,Europe
2023-03-08,628,512,180.37,South America
2023-05-24,397,246,37.32,North America
2023-02-07,703,666,84.82,North America
2023-03-14,616,101,109.13,Asia
2023-02-27,854,178,108.5,North America
2023-07-06,913,187,6.28,Africa
2023-04-01,48,44,76.81,Africa
2023-01-03,401,301,150.09,South America
2023-11-21,873,539,14.15,Asia
2023-04-18,923,359,6.85,South America
2023-11-20,66,31,88.02,Europe
2023-02-10,284,269,105.81,South America
2023-06-07,393,227,54.53,Europe
2023-10-22,528,486,56.38,South America
2023-12-08,678,234,69.08,Africa
2023-07-04,622,592,189.2,North America
2023-10-21,273,76,151.53,Europe
2023-10-27,601,278,190.24,South America
2023-12-15,641,68,44.04,North America
2023-06-14,802,602,172.34,Africa
2023-07-25,862,316,28.5,Australia
2023-05-18,952,178,29.09,Australia
2023-10-27,37,28,146.28,Asia
2023-03-06,817,727,166.35,North America
2023-11-11,259,167,187.33,South America
2023-07-13,14,1,23.75,Europe
2023-03-03,651,245,193.79,Asia
2023-02-19,541,379,58.57,Australia
2023-11-06,681,374,95.43,North America
2023-03-18,920,34,167.69,Africa
2023-05-27,427,133,99.06,Europe
2023-12-28,96,45,119.23,Europe
2023-02-02,704,260,37.13,Asia
2023-11-02,921,711,129.05,Australia
2023-08-09,239,139,175.57,North America
2023-09-30,965,16,86.3,Asia
2023-10-13,690,633,96.89,Africa
2023-10-31,498,266,7.7,North America
2023-07-17,678,321,94.38,Australia
2023-11-23,759,303,157.44,Australia
2023-09-13,431,300,128.71,South America
2023-08-31,883,408,69.98,Europe
2023-12-18,192,144,197.56,Asia
2023-05-06,672,58,130.42,Europe
2023-03-08,962,839,199.88,North America
2023-03-29,548,473,183.33,Australia
2023-06-25,226,123,199.63,North America
2023-01-09,348,207,38.41,Europe
2023-06-03,520,145,189.69,Asia
2023-05-26,589,544,74.75,Europe
2023-09-23,977,937,128.03,Europe
2023-02-25,147,144,172.83,Asia
2023-03-25,64,52,43.14,Europe
2023-04-05,265,72,59.33,Asia
2023-09-22,200,106,23.77,South America
2023-04-28,500,70,191.93,North America
2023-02-25,912,856,94.89,North America
2023-11-28,16,15,56.25,Africa
2023-10-06,535,56,51.23,Africa
2023-06-07,953,267,127.71,North America
2023-03-01,875,463,17.71,Asia
2023-05-23,21,19,83.41,North America
2023-01-02,789,32,150.67,Africa
2023-10-30,680,485,48.96,Australia
2023-08-10,443,82,161.9,South America
2023-04-26,772,90,194.18,North America
2023-11-24,992,511,198.67,Australia
2023-05-13,833,460,41.41,North America
2023-05-01,603,602,174.42,Australia
2023-01-17,71,56,13.56,Australia
2023-07-03,934,771,115.02,South America
2023-03-09,200,50,83.13,Australia
2023-10-12,981,290,52.6,Asia
2023-10-13,493,267,176.33,Europe
2023-09-06,310,141,12.73,Europe
2023-02-14,666,250,134.23,South America
2023-09-14,161,138,158.6,Africa
2023-05-31,797,589,180.5,Australia
2023-07-21,71,0,0.0,Africa
2023-01-30,554,419,122.08,Europe
2023-04-02,710,613,146.08,Asia
2023-07-03,27,6,81.05,Africa
2023-01-11,14,4,184.63,Europe
2023-08-03,27,13,9.43,Australia
2023-10-03,999,554,172.13,Asia
2023-06-06,463,320,39.36,North America
2023-05-24,486,156,90.32,Europe
2023-10-24,558,170,126.69,Asia
2023-03-22,154,29,99.57,South America
2023-08-18,61,38,61.51,Australia
2023-12-26,462,144,58.51,Africa
2023-04-21,496,81,20.92,Europe
2023-12-30,874,687,128.36,Asia
2023-09-22,509,306,98.47,Asia
2023-01-08,847,671,194.16,South America
2023-07-01,175,22,128.86,Europe
2023-09-28,406,163,146.23,South America
2023-03-04,685,309,56.94,Australia
2023-03-12,348,67,126.66,Europe
2023-10-05,169,36,92.8,Africa
2023-08-20,379,332,52.6,Africa
2023-03-02,888,855,101.37,North America
