order_id,store_id,customer_id,order_date,order_amount
1,10,1891,2023-01-12,479.12
2,60,1061,2023-01-27,982.07
3,103,1180,2023-10-31,200.04
4,44,1169,2023-07-23,227.02
5,6,863,2023-10-10,693.84
6,120,877,2023-04-04,867.22
7,4,1964,2023-02-06,817.43
8,63,909,2023-06-28,868.19
9,88,1500,2023-02-20,316.89
10,120,2297,2023-05-23,381.05
11,59,833,2023-09-06,741.88
12,96,2034,2023-04-14,190.1
13,113,534,2023-06-18,158.32
14,26,2331,2023-08-15,843.97
15,67,166,2023-08-31,422.77
16,89,302,2023-12-21,389.12
17,62,1932,2023-11-17,121.19
18,41,621,2023-09-08,116.99
19,90,972,2023-04-06,639.87
20,6,565,2023-11-02,930.6
21,56,964,2023-12-17,585.82
22,65,1041,2023-07-30,475.59
23,108,1105,2023-10-17,578.73
24,69,982,2023-04-26,325.48
25,6,2189,2023-04-26,353.64
26,30,1150,2023-03-18,575.56
27,89,2145,2023-05-08,124.8
28,46,2003,2023-12-07,429.71
29,118,2305,2023-05-28,242.29
30,77,2428,2023-12-06,516.5
31,95,1354,2023-12-20,451.42
32,106,2143,2023-01-21,876.88
33,38,980,2023-06-19,848.97
34,19,598,2023-12-22,109.35
35,99,1922,2023-05-11,148.72
36,89,1992,2023-03-20,148.26
37,25,2288,2023-04-15,632.23
38,55,1481,2023-02-18,952.53
39,102,302,2023-10-21,83.15
40,63,1642,2023-02-25,881.53
41,101,1641,2023-09-29,457.84
42,71,748,2023-10-13,80.14
43,26,1206,2023-09-01,855.41
44,52,597,2023-07-12,728.22
45,87,1089,2023-10-12,649.54
46,36,861,2023-10-21,161.15
47,118,1054,2023-02-12,255.7
48,25,797,2023-09-20,58.49
49,50,2225,2023-09-02,63.73
50,70,1844,2023-01-27,248.87
51,41,232,2023-03-02,756.59
52,88,1428,2023-06-06,394.78
53,61,159,2023-12-18,295.99
54,53,2285,2023-01-26,333.67
55,25,1481,2023-11-19,491.41
56,109,808,2023-09-10,438.27
57,104,2411,2023-05-20,506.94
58,30,663,2023-07-10,663.86
59,31,417,2023-03-27,65.59
60,17,1473,2023-12-20,124.57
61,14,799,2023-02-19,913.8
62,52,1053,2023-09-06,192.05
63,33,1685,2023-06-28,321.9
64,22,1682,2023-03-16,956.03
65,46,1829,2023-04-12,453.7
66,63,1733,2023-02-26,674.52
67,75,2435,2023-04-23,784.17
68,88,1516,2023-02-12,485.83
69,27,2283,2023-04-23,537.19
70,44,1153,2023-02-10,273.91
71,6,32,2023-05-22,787.78
72,73,1094,2023-05-28,409.47
73,33,2053,2023-05-26,251.5
74,15,757,2023-10-30,222.66
75,20,543,2023-07-22,6.18
76,79,246,2023-11-01,431.4
77,40,879,2023-02-14,792.34
78,35,322,2023-02-26,169.45
79,63,605,2023-06-07,92.3
80,46,699,2023-05-22,205.97
81,113,1387,2023-01-23,901.25
82,52,282,2023-09-27,984.81
83,71,2004,2023-03-28,478.23
84,85,1482,2023-05-22,71.7
85,25,913,2023-11-20,379.81
86,116,166,2023-02-25,981.02
87,84,98,2023-10-12,210.51
88,16,715,2023-04-05,737.45
89,32,1723,2023-10-09,252.13
90,105,67,2023-11-06,626.78
91,4,1285,2023-04-07,131.99
92,10,1051,2023-10-30,722.65
93,27,845,2023-12-20,256.44
94,102,2137,2023-12-03,806.28
95,7,1050,2023-08-09,147.4
96,118,1936,2023-04-15,562.4
97,48,148,2023-05-28,96.48
98,50,899,2023-11-12,252.41
99,9,1542,2023-07-31,796.16
100,111,2006,2023-10-23,717.35
101,34,6,2023-04-17,958.34
102,15,168,2023-12-07,587.59
103,118,1372,2023-07-15,269.5
104,24,1734,2023-09-28,551.03
105,119,1759,2023-03-17,712.08
106,32,875,2023-05-28,948.77
107,88,1778,2023-09-07,516.87
108,50,1097,2023-10-18,16.99
109,14,1295,2023-03-14,860.72
110,40,457,2023-02-22,500.32
111,119,860,2023-03-12,304.14
112,95,2402,2023-02-27,968.26
113,91,2434,2023-10-31,778.51
114,7,271,2023-01-02,43.13
115,41,465,2023-01-04,504.44
116,53,2278,2023-07-03,622.14
117,73,229,2023-09-01,210.26
118,79,1655,2023-07-17,942.53
119,88,532,2023-08-07,581.15
120,3,1729,2023-11-28,608.3
121,82,1897,2023-09-09,940.98
122,112,83,2023-04-26,497.89
123,28,1710,2023-10-05,736.38
124,94,1070,2023-12-06,396.11
125,5,1587,2023-06-12,466.61
126,78,1206,2023-06-07,890.89
127,38,768,2023-08-23,612.63
128,32,201,2023-07-04,366.29
129,6,2493,2023-07-24,438.46
130,105,567,2023-05-16,635.49
131,72,584,2023-12-22,61.9
132,15,1535,2023-05-24,405.56
133,24,1265,2023-04-15,436.06
134,15,1903,2023-06-09,241.43
135,11,800,2023-04-27,855.36
136,56,1175,2023-04-07,344.01
137,100,1772,2023-11-05,222.89
138,65,1738,2023-01-31,135.72
139,65,832,2023-08-08,850.42
140,47,1657,2023-07-06,502.22
141,103,519,2023-10-06,87.66
142,47,674,2023-08-31,73.61
143,81,2390,2023-08-15,592.56
144,16,2444,2023-06-24,744.07
145,82,2385,2023-04-30,660.31
146,54,795,2023-12-26,150.07
147,108,932,2023-02-12,36.74
148,57,629,2023-11-06,198.68
149,39,1852,2023-08-09,174.76
150,55,396,2023-03-05,337.85
151,5,2341,2023-12-19,795.52
152,84,2450,2023-05-01,666.67
153,60,343,2023-03-03,910.35
154,77,1370,2023-03-03,265.01
155,75,1994,2023-10-02,859.46
156,79,964,2023-10-25,987.93
157,17,515,2023-03-24,506.08
158,49,1960,2023-08-28,262.11
159,80,1104,2023-07-23,43.4
160,19,1142,2023-01-08,91.26
161,22,1997,2023-11-05,827.11
162,5,2194,2023-03-12,268.53
163,52,686,2023-10-25,363.56
164,50,398,2023-07-10,808.42
165,117,337,2023-11-06,422.49
166,112,1481,2023-02-23,351.87
167,53,688,2023-09-26,836.67
168,102,125,2023-10-20,588.87
169,23,900,2023-01-01,475.99
170,43,1505,2023-11-23,423.23
171,55,615,2023-06-23,313.99
172,96,1844,2023-12-05,886.59
173,14,1961,2023-07-20,651.87
174,19,1176,2023-06-23,450.35
175,106,2143,2023-05-17,958.04
176,73,2112,2023-10-05,909.94
177,104,804,2023-04-12,536.02
178,92,2430,2023-02-11,882.97
179,13,2394,2023-07-15,821.59
180,52,783,2023-08-15,148.41
181,33,640,2023-09-17,493.66
182,54,1478,2023-08-11,468.03
183,83,2147,2023-01-03,361.55
184,63,370,2023-10-28,105.44
185,56,2486,2023-02-20,628.51
186,72,1501,2023-03-05,427.71
187,96,852,2023-06-20,14.42
188,59,146,2023-08-31,839.63
189,15,731,2023-03-29,246.75
190,76,1786,2023-12-19,310.73
191,20,400,2023-04-24,546.09
192,38,653,2023-02-06,597.69
193,119,2355,2023-10-31,233.42
194,107,1005,2023-04-10,230.36
195,42,1661,2023-10-13,975.75
196,114,1774,2023-08-28,909.17
197,66,1971,2023-01-14,50.29
198,3,349,2023-02-21,853.64
199,71,368,2023-10-21,216.04
200,5,272,2023-01-14,256.95
201,11,241,2023-01-10,190.83
202,95,973,2023-01-17,390.78
203,7,25,2023-08-04,944.91
204,83,2334,2023-07-08,567.02
205,112,912,2023-07-08,112.87
206,103,1224,2023-07-19,884.29
207,56,1669,2023-07-17,86.98
208,81,983,2023-01-28,993.76
209,63,85,2023-07-12,305.84
210,7,354,2023-02-25,392.06
211,62,1521,2023-01-26,746.94
212,90,1933,2023-08-22,623.22
213,8,1062,2023-02-16,675.79
214,110,1030,2023-11-28,79.46
215,88,1203,2023-11-08,310.73
216,99,2236,2023-08-29,469.15
217,38,834,2023-06-19,404.63
218,95,1929,2023-08-02,645.38
219,39,1654,2023-11-29,992.3
220,80,280,2023-03-16,41.65
221,97,2141,2023-05-11,29.14
222,17,738,2023-01-05,837.86
223,99,942,2023-05-26,295.61
224,2,1965,2023-11-16,962.9
225,4,1724,2023-07-09,726.0
226,98,2001,2023-03-01,455.39
227,83,1592,2023-09-12,90.49
228,18,2433,2023-04-05,287.47
229,115,1278,2023-01-30,425.14
230,112,473,2023-03-24,739.12
231,48,818,2023-09-12,863.64
232,29,330,2023-01-25,570.21
233,61,145,2023-01-28,292.34
234,78,426,2023-05-23,59.96
235,3,1570,2023-07-31,900.53
236,26,1018,2023-07-16,884.73
237,25,1938,2023-04-11,565.57
238,114,548,2023-01-28,218.19
239,109,927,2023-10-08,478.82
240,32,8,2023-03-03,75.49
241,91,2246,2023-02-10,585.92
242,47,239,2023-10-31,864.58
243,8,2297,2023-01-05,240.59
244,111,1123,2023-02-06,510.29
245,25,1251,2023-05-06,467.92
246,93,1669,2023-04-01,160.36
247,39,1856,2023-08-24,520.47
248,50,1562,2023-10-23,600.27
249,60,943,2023-08-16,314.9
250,15,1468,2023-03-06,685.35
251,74,561,2023-03-29,685.86
252,20,1355,2023-04-23,205.54
253,31,1127,2023-05-10,29.14
254,72,2190,2023-08-24,443.54
255,80,2001,2023-01-20,256.5
256,40,2322,2023-12-19,545.07
257,20,714,2023-05-29,791.06
258,93,1588,2023-05-22,704.82
259,97,263,2023-01-16,337.97
260,60,701,2023-05-07,436.53
261,95,270,2023-11-27,223.78
262,65,2361,2023-03-30,716.12
263,12,1546,2023-06-08,954.93
264,76,2288,2023-02-25,840.19
265,86,410,2023-02-14,829.79
266,91,776,2023-09-09,931.58
267,42,2316,2023-05-22,265.24
268,84,1733,2023-11-10,926.58
269,29,1182,2023-01-30,42.29
270,56,1044,2023-06-30,857.61
271,32,271,2023-02-04,223.48
272,78,2245,2023-05-17,718.64
273,83,725,2023-11-18,907.2
274,87,112,2023-01-02,658.29
275,83,175,2023-08-03,822.48
276,95,2098,2023-07-28,152.82
277,89,241,2023-04-05,30.15
278,41,2220,2023-10-11,697.38
279,103,844,2023-12-02,906.14
280,110,1191,2023-07-28,678.52
281,82,2112,2023-05-25,813.29
282,30,1470,2023-07-11,380.25
283,40,222,2023-12-10,194.58
284,51,2039,2023-11-27,925.57
285,112,1311,2023-11-27,752.51
286,44,1893,2023-06-18,918.94
287,114,833,2023-11-17,456.86
288,61,312,2023-06-26,699.86
289,27,619,2023-05-21,266.51
290,48,1360,2023-02-01,611.17
291,109,2031,2023-08-24,158.75
292,71,1591,2023-12-01,824.46
293,60,350,2023-06-23,11.06
294,101,2203,2023-10-21,903.65
295,36,1277,2023-05-16,174.5
296,11,153,2023-12-21,16.55
297,4,2145,2023-12-22,146.18
298,29,678,2023-03-28,423.59
299,56,863,2023-12-08,463.07
300,16,1133,2023-04-01,948.95
301,68,1741,2023-05-13,935.0
302,37,2292,2023-12-20,645.27
303,104,1105,2023-06-07,905.62
304,86,2325,2023-08-19,681.24
305,12,1404,2023-09-27,52.3
306,18,1818,2023-02-27,627.46
307,28,984,2023-02-11,660.99
308,39,1759,2023-01-11,798.0
309,119,426,2023-07-15,801.59
310,58,114,2023-02-21,19.97
311,25,60,2023-09-05,573.77
312,58,330,2023-05-29,892.7
313,55,1527,2023-06-30,499.02
314,25,783,2023-01-28,79.43
315,82,995,2023-12-17,209.65
316,40,1753,2023-09-28,608.11
317,30,1804,2023-07-08,343.15
318,4,2351,2023-11-18,917.99
319,49,1642,2023-03-27,759.73
320,102,1029,2023-06-17,537.23
321,63,1776,2023-12-14,795.73
322,30,735,2023-08-17,476.11
323,86,1636,2023-10-03,280.3
324,13,819,2023-12-11,669.52
325,66,1258,2023-08-21,83.01
